Leicester,Leicester
Arsenal,Arsenal
Tottenham,Tottenham
Man City,Man City
Man United,Man United
Southampton,Southampton
West Ham,West Ham
Liverpool,Liverpool
Stoke,Stoke
Chelsea,Chelsea
Everton,Everton
Swansea,Swansea
Watford,Watford
West Brom,West Brom
Crystal Palace,Crystal Palace
Bournemouth,Bournemouth
Sunderland,Sunderland
Newcastle,Burnley
Norwich,Middlesbrough
Aston Villa,Hull
